Donald Duck Finds Pirate Gold 	"Donald Duck Four Color" #9 (Oct 1942) 	64 	Donald Duck 	Carl Barks, Jack Hannah 	Bob Karp 	W OS 9-02
Armored Rescue 	"Donald Duck Four Color" #422 (Sept 1952) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 422-03
Crafty Corner 	"Donald Duck Four Color" #422 (Sept 1952) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 422-04
The Hypno-Gun 	"Walt Disney's Comics and Stories" #145 (Oct 1952) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 145-01
Trick or Treat 	"Donald Duck" #26 (Nov 1952) 	23 	Donald Duck 	Carl Barks 	Carl Barks 	W DD 26-02
Omelet 	"Walt Disney's Comics and Stories" #146 (Nov 1952) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 146-01
Hobblin' Goblins 	"Donald Duck" #26 (Nov 1952) 	9 	Donald Duck 	Carl Barks 	Carl Barks 	W DD 26-03
A Prank Above 	"Donald Duck" #26 (Nov 1952) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W DD 26-01
Frightful Face 	"Donald Duck" #26 (Nov 1952) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W DD 26-04
A Charitable Chore 	"Walt Disney's Comics and Stories" #147 (Dec 1952) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 147-01
Turkey with All the Schemings 	"Walt Disney's Comics and Stories" #148 (Jan 1953) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 148-01
Flip Decision 	"Walt Disney's Comics and Stories" #149 (Feb 1953) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 149-01
My Lucky Valentine 	"Walt Disney's Comics and Stories" #150 (March 1953) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 150-01
Back to the Klondike 	"Uncle Scrooge Four Color" #456 (March 1953) 	27 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W OS 456-02
Somethin' Fishy Here 	"Uncle Scrooge Four Color" #456 (March 1953) 	5 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W OS 456-03
Fare Delay 	"Uncle Scrooge Four Color" #456 (March 1953) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W OS 456-01
The Money Ladder 	"Uncle Scrooge Four Color" #456 (March 1953) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W OS 456-04
The Checker Game 	"Uncle Scrooge Four Color" #456 (March 1953) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W OS 456-05
The Easter Election 	"Walt Disney's Comics and Stories" #151 (April 1953) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 151-01
The Talking Dog 	"Walt Disney's Comics and Stories" #152 (May 1953) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 152-01
Worm Weary 	"Walt Disney's Comics and Stories" #153 (June 1953) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 153-01
Much Ado about Quackly Hall 	"Walt Disney's Comics and Stories" #154 (July 1953) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 154-01
Some Heir Over the Rainbow 	"Walt Disney's Comics and Stories" #155 (Aug 1953) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 155-01
The Master Rainmaker 	"Walt Disney's Comics and Stories" #156 (Sept 1953) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 156-01
The Horseradish Story 	"Uncle Scrooge Four Color" #495 (Sept 1953) 	22 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W OS 495-02
The Round Money Bin 	"Uncle Scrooge Four Color" #495 (Sept 1953) 	10 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W OS 495-03
Barber College 	"Uncle Scrooge Four Color" #495 (Sept 1953) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W OS 495-01
Follow the Rainbow 	"Uncle Scrooge Four Color" #495 (Sept 1953) 	1 	Uncle Scrooge 	Carl Barks 	(?) 	W OS 495-04
Itching to Share 	"Uncle Scrooge Four Color" #495 (Sept 1953) 	1 	Uncle Scrooge 	Carl Barks 	(?) 	W OS 495-05
The Money Stairs 	"Walt Disney's Comics and Stories" #157 (Oct 1953) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 157-01
Bee Bumbles 	"Walt Disney's Comics and Stories" #158 (Nov 1953) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 158-01
Wispy Willie 	"Walt Disney's Comics and Stories" #159 (Dec 1953) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 159-01
The Menehune Mystery 	"Uncle Scrooge" #4 (Dec 1953) 	32 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 4-02
Ballet Evasions 	"Uncle Scrooge" #4 (Dec 1953) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 4-01
The Cheapest Weigh 	"Uncle Scrooge" #4 (Dec 1953) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 4-03
Bum Steer 	"Uncle Scrooge" #4 (Dec 1953) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 4-04
The Hammy Camel 	"Walt Disney's Comics and Stories" #160 (Jan 1954) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 160-01
Fix-up Mix-up 	"Walt Disney's Comics and Stories" #161 (Feb 1954) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 161-01
Turkey Trot at One Whistle 	"Walt Disney's Comics and Stories" #162 (March 1954) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 162-01
The Secret of Atlantis 	"Uncle Scrooge" #5 (March 1954) 	32 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 5-02
Hospitality Week 	"Uncle Scrooge" #5 (March 1954) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 5-01
McDuck Takes a Dive 	"Uncle Scrooge" #5 (March 1954) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 5-03
Slippery Sipper 	"Uncle Scrooge" #5 (March 1954) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 5-04
Raffle Reversal 	"Walt Disney's Comics and Stories" #163 (April 1954) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 163-01
Flour Follies 	"Walt Disney's Comics and Stories" #164 (May 1954) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 164-01
The Price of Fame 	"Walt Disney's Comics and Stories" #165 (June 1954) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 165-01
Tralla La 	"Uncle Scrooge" #6 (June 1954) 	22 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 6-02
Outfoxed Fox 	"Uncle Scrooge" #6 (June 1954) 	10 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 6-03
Oil the News 	"Uncle Scrooge" #6 (June 1954) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 6-01
Dig it! 	"Uncle Scrooge" #6 (June 1954) 	1 	Uncle Scrooge 	Carl Barks 	(?) 	W US 6-04
Mental Fee 	"Uncle Scrooge" #6 (June 1954) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 6-05
Midgets Madness 	"Walt Disney's Comics and Stories" #166 (July 1954) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 166-01
Salmon Derby 	"Walt Disney's Comics and Stories" #167 (Aug 1954) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 167-01
Cheltenham's Choice 	"Walt Disney's Comics and Stories" #168 (Sept 1954) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 168-01
The Seven Cities of Cibola 	"Uncle Scrooge" #7 (Sept 1954) 	28 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 7-02
Billion Dollar Pigeon 	"Uncle Scrooge" #7 (Sept 1954) 	4 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 7-03
Temper Tampering 	"Uncle Scrooge" #7 (Sept 1954) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 7-01
Wrong Number 	"Uncle Scrooge" #7 (Sept 1954) 	1 	Uncle Scrooge 	Carl Barks 	(?) 	W US 7-04
Diner Dilemma 	"Uncle Scrooge" #7 (Sept 1954) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 7-05
Travelling Truants 	"Walt Disney's Comics and Stories" #169 (Oct 1954) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 169-03
Rants about Ants 	"Walt Disney's Comics and Stories" #170 (Nov 1954) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 170-03
Donald Duck Tells about Kites 	"Kites Giveaway" #2 (Nov 1954) 	8 	Donald Duck 	Carl Barks 	(?) 	W KGA 2-01
Too Safe Safe 	"Walt Disney's Comics and Stories" #171 (Dec 1954) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 171-03
The Mysterious Stone Ray 	"Uncle Scrooge" #8 (Dec 1954) 	28 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 8-02
A Campaign of Note 	"Uncle Scrooge" #8 (Dec 1954) 	4 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 8-03
Cash on the Brain 	"Uncle Scrooge" #8 (Dec 1954) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 8-01
Classy Taxi! 	"Uncle Scrooge" #8 (Dec 1954) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 8-04
Blanket Investment 	"Uncle Scrooge" #8 (Dec 1954) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 8-05
Search for the Cuspidora 	"Walt Disney's Comics and Stories" #172 (Jan 1955) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 172-01
New Year's Revolutions 	"Walt Disney's Comics and Stories" #173 (Feb 1955) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 173-02
Iceboat to Beaver Island 	"Walt Disney's Comics and Stories" #174 (March 1955) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 174-02
The Lemming with the Locket 	"Uncle Scrooge" #9 (March 1955) 	22 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 9-02
The Tuckered Tiger 	"Uncle Scrooge" #9 (March 1955) 	9 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 9-03
Easy Mowing 	"Uncle Scrooge" #9 (March 1955) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 9-01
Ski Lift Letdown 	"Uncle Scrooge" #9 (March 1955) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 9-04
Cast of Thousands 	"Uncle Scrooge" #9 (March 1955) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 9-05
The Daffy Taffy Pull 	"Walt Disney's Comics and Stories" #175 (April 1955) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 175-01
The Ghost Sheriff of Last Gasp 	"Walt Disney's Comics and Stories" #176 (May 1955) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 176-02
A Descent Interval 	"Walt Disney's Comics and Stories" #177 (June 1955) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 177-01
The Fabulous Philosopher's Stone 	"Uncle Scrooge" #10 (June 1955) 	24 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 10-02
Heirloom Watch 	"Uncle Scrooge" #10 (June 1955) 	8 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 10-03
Deep Decision 	"Uncle Scrooge" #10 (June 1955) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 10-01
Smash Success 	"Uncle Scrooge" #10 (June 1955) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 10-04
Donald's Raucous Role 	"Walt Disney's Comics and Stories" #178 (July 1955) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 178-02
Good Canoes and Bad Canoes 	"Walt Disney's Comics and Stories" #179 (Aug 1955) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 179-02
Trouble Indemnity 	"Walt Disney's Comics and Stories" #180 (Sept 1955) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 180-01
The Great Steamboat Race 	"Uncle Scrooge" #11 (Sept 1955) 	16 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 11-01
Riches, Riches, Everywhere! 	"Uncle Scrooge" #11 (Sept 1955) 	16 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 11-02
Come as You are 	"Uncle Scrooge" #11 (Sept 1955) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 11-03
Roundabout Handout 	"Uncle Scrooge" #11 (Sept 1955) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 11-04
The Chickadee Challenge 	"Walt Disney's Comics and Stories" #181 (Oct 1955) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 181-01
The Unorthodox Ox 	"Walt Disney's Comics and Stories" #182 (Nov 1955) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 182-01
The Custard Gun 	"Walt Disney's Comics and Stories" #183 (Dec 1955) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 183-01
The Golden Fleecing 	"Uncle Scrooge" #12 (Dec 1955) 	31 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 12-02
Watt an Occasion 	"Uncle Scrooge" #12 (Dec 1955) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 12-01
Doughnut Dare 	"Uncle Scrooge" #12 (Dec 1955) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 12-03
A Sweat Deal 	"Uncle Scrooge" #12 (Dec 1955) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 12-04
Three Un-Ducks 	"Walt Disney's Comics and Stories" #184 (Jan 1956) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 184-01
Dogcatcher Duck 	"Donald Duck" #45 (Jan 1956) 	6 	Donald Duck 	Carl Barks 	Carl Barks 	W DD 45-06
Courtside Heating 	"Donald Duck" #45 (Jan 1956) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W DD 45-01
Remember This 	"Donald Duck" #45 (Jan 1956) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W DD 45-08
Power Plowing 	"Donald Duck" #45 (Jan 1956) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W DD 45-09
Secret Resolutions 	"Walt Disney's Comics and Stories" #185 (Feb 1956) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 185-02
The Ice Taxis 	"Walt Disney's Comics and Stories" #186 (March 1956) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 186-02
Secret of Hondorica 	"Donald Duck" #46 (March 1956) 	24 	Donald Duck 	Carl Barks 	Carl Barks 	W DD 46-02
Land Beneath the Ground! 	"Uncle Scrooge" #13 (March 1956) 	27 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 13-02
Trapped Lightning 	"Uncle Scrooge" #13 (March 1956) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 13-04
The Art of Security 	"Uncle Scrooge" #13 (March 1956) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 13-01
Fashion Forecast 	"Uncle Scrooge" #13 (March 1956) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 13-05
Mush! 	"Uncle Scrooge" #13 (March 1956) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 13-06
Searching for a Successor 	"Walt Disney's Comics and Stories" #187 (April 1956) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 187-01
The Olympic Hopeful 	"Walt Disney's Comics and Stories" #188 (May 1956) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 188-01
Gopher Goof-Ups 	"Walt Disney's Comics and Stories" #189 (June 1956) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 189-01
The Lost Crown of Genghis Khan! 	"Uncle Scrooge" #14 (June 1956) 	19 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 14-02
Faulty Fortune 	"Uncle Scrooge" #14 (June 1956) 	7 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 14-05
Inventor of Anything 	"Uncle Scrooge" #14 (June 1956) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 14-03
Luncheon Lament 	"Uncle Scrooge" #14 (June 1956) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 14-01
Gold Rush 	"Uncle Scrooge" #14 (June 1956) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 14-06
Fireflies are Free 	"Uncle Scrooge" #14 (June 1956) 	<1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 14-07
In the Swim 	"Walt Disney's Comics and Stories" #190 (July 1956) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 190-01
Camping Confusion 	"Walt Disney's Comics and Stories" #191 (Aug 1956) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 191-01
The Master 	"Walt Disney's Comics and Stories" #192 (Sept 1956) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 192-01
The Second-Richest Duck 	"Uncle Scrooge" #15 (Sept 1956) 	20 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 15-02
Migrating Millions 	"Uncle Scrooge" #15 (Sept 1956) 	6 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 15-05
The Cat Box 	"Uncle Scrooge" #15 (Sept 1956) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 15-03
Buffo or Bust 	"Uncle Scrooge" #15 (Sept 1956) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 15-01
Pound for Sound 	"Uncle Scrooge" #15 (Sept 1956) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 15-06
A Whale of a Story 	"Walt Disney's Comics and Stories" #193 (Oct 1956) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 193-01
Smoke Writer in the Sky 	"Walt Disney's Comics and Stories" #194 (Nov 1956) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 194-01
The Runaway Train 	"Walt Disney's Comics and Stories" #195 (Dec 1956) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 195-01
Back to Long Ago! 	"Uncle Scrooge" #16 (Dec 1956) 	21 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 16-02
The Colossalest Surprise Quiz Show 	"Uncle Scrooge" #16 (Dec 1956) 	5 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 16-05
Forecasting Follies 	"Uncle Scrooge" #16 (Dec 1956) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 16-03
Fertile Assets 	"Uncle Scrooge" #16 (Dec 1956) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 16-01
Backyard Bonanza 	"Uncle Scrooge" #16 (Dec 1956) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 16-06
Grandma's Present 	"Walt Disney's Christmas Parade" #8 (Dec 1956) 	8 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W CP 8-06
Statues of Limitations 	"Walt Disney's Comics and Stories" #196 (Jan 1957) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 196-02
All Season Hat 	"Donald Duck" #51 (Jan 1957) 	<1 	Donald Duck 	Carl Barks 	Carl Barks 	W DD 51-07
Borderline Hero 	"Walt Disney's Comics and Stories" #197 (Feb 1957) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 197-02
Knight in Shining Armor 	"Walt Disney's Comics and Stories" #198 (March 1957) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 198-02
The Lost Peg Leg Mine 	"Donald Duck" #52 (March 1957) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W DD 52-02
A Cold Bargain 	"Uncle Scrooge" #17 (March 1957) 	26 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 17-02
Fishing Mystery 	"Uncle Scrooge" #17 (March 1957) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 17-04
Early to Build 	"Uncle Scrooge" #17 (March 1957) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 17-01
The Eyes Have It 	"Uncle Scrooge" #17 (March 1957) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 17-05
China Shop Shakeup 	"Uncle Scrooge" #17 (March 1957) 	<1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 17-06
Gyro's Imagination Invention 	"Walt Disney's Comics and Stories" #199 (April 1957) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 199-01
Donald's Pet Service 	"Walt Disney's Comics and Stories" #200 (May 1957) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 200-01
The Day Duckburg Got Dyed 	"Walt Disney's Comics and Stories" #201 (June 1957) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 201-01
Land of the Pygmy Indians 	"Uncle Scrooge" #18 (June 1957) 	27 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 18-02
The Sure-Fire Gold Finder 	"Uncle Scrooge" #18 (June 1957) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 18-04
Net Worth 	"Uncle Scrooge" #18 (June 1957) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 18-01
Relative Reaction 	"Uncle Scrooge" #18 (June 1957) 	<1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 18-05
In Kakimaw Country 	"Walt Disney's Comics and Stories" #202 (July 1957) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 202-01
Forbidden Valley 	"Donald Duck" #54 (July 1957) 	26 	Donald Duck 	Carl Barks 	Carl Barks 	W DD 54-01
Picnic 	"Picnic Party" #1 (July 1957) 	6 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W PP 8–06
Special Delivery 	"Walt Disney's Comics and Stories" #203 (Aug 1957) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 203-01
The Fantastic River Race 	"Uncle Scrooge Goes to Disneyland" #1 (Aug 1957) 	20 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W USGD 1-02
Losing Face 	"Walt Disney's Comics and Stories" #204 (Sept 1957) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 204-01
The Mines of King Solomon 	"Uncle Scrooge" #19 (Sept 1957) 	27 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 19-02
Gyro Builds a Better House 	"Uncle Scrooge" #19 (Sept 1957) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 19-04
History Tossed 	"Uncle Scrooge" #19 (Sept 1957) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 19-01
Red Apple Sap 	"Walt Disney's Comics and Stories" #205 (Oct 1957) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 205-01
Sagmore Springs Hotel 	"Walt Disney's Comics and Stories" #206 (Nov 1957) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 206-02
The Tenderfoot Trap 	"Walt Disney's Comics and Stories" #207 (Dec 1957) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 207-01
The Black Pearls of Tabu Yama 	"Christmas in Disneyland" #1 (Dec 1957) 	17 	Donald Duck 	Carl Barks 	Carl Barks 	W CID 1-02
August Accident 	"Mickey Mouse Almanac" #1 (Dec 1957) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W MMAlm 1-08
September Scrimmage 	"Mickey Mouse Almanac" #1 (Dec 1957) 	4 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W MMAlm 1-09
City of Golden Roofs 	"Uncle Scrooge" #20 (Dec 1957) 	26 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 20-01
Roscoe the Robot 	"Uncle Scrooge" #20 (Dec 1957) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 20-03
Rescue Enhancement 	"Uncle Scrooge" #20 (Dec 1957) 	<1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 20-04
The Code of Duckburg 	"Walt Disney's Comics and Stories" #208 (Jan 1958) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 208-01
The Persistent Postman 	"Walt Disney's Comics and Stories" #209 (Feb 1958) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 209-02
The Half-Baked Baker 	"Walt Disney's Comics and Stories" #210 (March 1958) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 210-02
The Money Well 	"Uncle Scrooge" #21 (March 1958) 	26 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 21-02
Getting Thor 	"Uncle Scrooge" #21 (March 1958) 	3 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 21-04
Windfall of the Mind 	"Uncle Scrooge" #21 (March 1958) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 21-01
Dogged Determination 	"Uncle Scrooge" #21 (March 1958) 	<1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 21-05
Forgotten Precaution 	"Uncle Scrooge" #21 (March 1958) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 21-06
Wishing Stone Island 	"Walt Disney's Comics and Stories" #211 (April 1958) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 211-01
Rocket Race Around the World 	"Walt Disney's Comics and Stories" #212 (May 1958) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 212-02
Dodging Miss Daisy 	"Walt Disney's Comics and Stories" #213 (June 1958) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 213-01
The Golden River 	"Uncle Scrooge" #22 (June 1958) 	26 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 22-02
The Know-It-All Machine 	"Uncle Scrooge" #22 (March 1958) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 22-04
Going to Pieces 	"Uncle Scrooge" #22 (June 1958) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 22-01
High Rider 	"Uncle Scrooge" #22 (June 1958) 	<1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 22-05
That Sinking Feeling 	"Uncle Scrooge" #22 (June 1958) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 22-06
Blinders gag 	"Albi di Topolino" #201 (June 1958) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	CS US 19
Fearsome Flowers 	"Walt Disney's Comics and Stories" #214 (July 1958) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 214-01
The Titanic Ants! 	"Donald Duck" #60 (July 1958) 	20 	Donald Duck 	Carl Barks 	Carl Barks 	W DD 60-02
Water Ski Race 	"Donald Duck" #60 (July 1958) 	6 	Donald Duck 	Carl Barks 	Carl Barks 	W DD 60-05
Mocking Bird Ridge 	"Walt Disney's Comics and Stories" #215 (Aug 1958) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 215-01
Old Froggie Catapult 	"Walt Disney's Comics and Stories" #216 (Sept 1958) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 216-02
The Strange Shipwrecks 	"Uncle Scrooge" #23 (Sept 1958) 	21 	Uncle Scrooge 	Carl Barks 	Carl Barks, Nick George 	W US 23-02
